,lat,lon,mapper_count,elevation
257,18.024769,-67.154214,0,0.0
258,18.024778,-67.155158,0,0.0
259,18.027416,-67.147575,0,0.0
260,18.027425,-67.14852,0,0.0
261,18.03391,-67.165451,0,0.0
262,18.069089,-67.159419,0,0.0
263,18.128788,-66.071523,0,0.0
264,18.14228,100.139124,0,0.0
265,18.179551,103.898452,0,0.0
266,18.180455,103.898446,0,0.0
267,18.298169,103.652678,0,0.0
268,18.414101,-66.447013,0,0.0
269,18.420738,-66.470568,0,0.0
270,18.421666,-66.472447,0,0.0
271,18.422304,-66.452568,0,0.0
272,18.422582,-66.47338,0,0.0
273,18.431282,-66.448651,0,0.0
274,18.432185,-66.448638,0,0.0
275,18.440997,-66.432422,0,0.0
276,18.449588,-66.400121,3,0.0
277,18.450517,-66.401999,3,0.0
278,18.45513,-66.544827,0,0.0
279,19.515288,74.287102,0,0.0
280,24.969405,121.101968,0,0.0
281,25.02001,121.414298,3,0.0
282,25.020923,121.415277,57,0.0
283,26.340472,-80.104118,10,0.0
284,26.341375,-80.104111,2,0.0
285,26.431887,80.306993,0,0.0
286,28.162051,-80.66183,0,0.0
287,28.165686,-80.672004,0,0.0
288,28.258763,-80.716578,0,0.0
289,28.263275,-80.715546,0,0.0
290,28.265069,-80.710444,0,0.0
291,28.265932,-80.692089,0,0.0
292,28.268676,-80.708395,0,0.0
293,28.287647,-80.715482,0,0.0
294,28.288558,-80.719558,0,0.0
295,28.289461,-80.719556,0,0.0
296,28.292137,-80.704252,0,0.0
297,28.293039,-80.704249,0,0.0
298,28.293949,-80.707306,0,0.0
299,28.293951,-80.708326,0,0.0
300,28.293987,-80.725663,0,0.0
301,28.297593,-80.723614,0,0.0
302,28.299397,-80.72259,0,0.0
303,28.307521,-80.722568,0,0.0
304,28.309326,-80.722564,0,0.0
305,28.611909,-81.158549,0,0.0
306,28.614601,-81.171851,0,0.0
307,28.615509,-81.167761,0,0.0
308,28.616409,-81.169808,1,0.0
309,28.619109,-81.17595,0,0.0
310,28.620008,-81.179021,1,0.0
311,29.479242,-98.47085,20,0.0
312,29.480144,-98.470846,0,0.0
313,29.480149,-98.471877,0,0.0
314,29.481047,-98.470841,0,0.0
315,29.506789,-98.606898,39,0.0
316,29.507692,-98.606895,5,0.0
317,29.546846,-95.556257,0,0.0
318,29.548411,-95.568676,0,0.0
319,29.548431,-95.567645,0,0.0
320,29.554218,-95.548189,0,0.0
